Gene	1_ST_1	1_ST_2	1_ST_3	1_ST_4	1_ST_5	1_ST_6	1_ST_7	1_ST_8	1_ST_9	1_ST_10	1_ST_11	1_ST_12	1_ST_13	1_ST_14	1_ST_15	1_ST_16	1_ST_17	1_ST_18	1_ST_19	1_ST_20	1_ST_21	1_ST_22	1_ST_23	1_ST_24
ABCA5	15.99	4.93	1.94	0.00	12.61	0.00	0.00	0.00	7.73	0.00	1.24	40.17	46.30	97.06	0.00	0.00	0.00	0.00	3.72	4.27	0.00	8.19	4.46	0.00
ABCA6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCA7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCA8	287.82	157.65	87.49	113.66	109.72	0.00	0.00	0.00	197.07	316.70	52.28	243.89	131.20	397.06	0.00	211.84	229.14	316.69	126.59	226.56	0.00	114.65	415.22	91.49
ABCA9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.86	8.55	0.00	0.00	93.76	0.00
ABCA9-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCB1	0.00	0.00	33.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCB10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.86	0.00	0.00	0.00	0.00	0.00	0.00	4.51	0.00	0.00	0.00	111.14	0.00	0.00	0.00	0.00
ABCB11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCB4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCB5	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCB6	47.97	0.00	1.94	0.00	12.61	0.00	0.00	0.00	57.96	41.57	6.22	0.00	0.00	0.00	0.00	13.52	16.56	59.19	0.00	72.67	0.00	0.00	0.00	0.00
ABCB7	42.64	14.78	0.00	6.69	2.52	0.00	0.00	0.00	0.00	31.67	2.49	0.00	7.72	0.00	0.00	0.00	2.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCB8	5.33	0.00	7.78	0.00	0.00	0.00	0.00	0.00	61.83	9.90	22.41	0.00	0.00	0.00	0.00	4.51	24.85	2.96	0.00	47.02	0.00	0.00	0.00	0.00
ABCB9	0.00	4.93	7.78	13.37	35.31	0.00	0.00	0.00	0.00	3.96	9.96	37.30	15.43	0.00	0.00	0.00	0.00	62.15	26.06	38.47	0.00	122.84	4.46	22.87
ABCC1	95.94	251.26	38.88	80.23	137.47	88.53	648.51	0.00	85.01	110.84	158.09	57.39	127.34	114.71	0.00	22.54	80.06	165.74	135.90	89.77	0.00	237.49	254.49	173.83
ABCC10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.88	0.00	9.65	0.00	0.00	0.00	0.00	0.00	13.03	4.27	0.00	0.00	84.83	0.00
