Gene	1_ST_1	1_ST_2	1_ST_3	1_ST_4	1_ST_5	1_ST_6	1_ST_7	1_ST_8	1_ST_9	1_ST_10	1_ST_11	1_ST_12	1_ST_13	1_ST_14	1_ST_15	1_ST_16	1_ST_17	1_ST_18	1_ST_19	1_ST_20	1_ST_21	1_ST_22	1_ST_23	1_ST_24
MED18	10.66	0.00	3.89	0.00	0.00	0.00	0.00	0.00	0.00	1.98	32.37	0.00	0.00	0.00	0.00	81.13	0.00	5.92	0.00	106.87	0.00	0.00	13.39	57.18
MED19	79.95	133.02	79.71	100.29	69.36	0.00	0.00	0.00	7.73	25.73	138.17	14.35	173.64	0.00	327.01	13.52	24.85	109.51	87.50	64.12	407.83	0.00	8.93	2.29
MED20	0.00	4.93	1.94	0.00	15.13	0.00	0.00	0.00	46.37	9.90	11.20	25.82	11.58	0.00	0.00	4.51	2.76	5.92	20.48	17.10	0.00	49.14	40.18	22.87
MED21	15.99	0.00	68.05	46.80	21.44	0.00	0.00	0.00	81.15	75.22	0.00	40.17	3.86	0.00	0.00	72.12	55.22	53.27	1.86	17.10	0.00	73.71	71.44	6.86
MED22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	72.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MED23	37.31	0.00	33.05	13.37	10.09	0.00	0.00	0.00	3.86	0.00	0.00	14.35	11.58	8.82	0.00	112.68	33.13	5.92	9.31	21.37	0.00	8.19	4.46	34.31
MED24	53.30	78.83	13.61	0.00	8.83	0.00	0.00	0.00	46.37	73.24	0.00	8.61	44.38	114.71	0.00	85.64	154.60	20.72	80.05	89.77	0.00	65.52	22.32	32.02
MED25	90.61	295.60	145.81	46.80	34.05	0.00	0.00	0.00	19.32	51.46	38.59	34.43	19.29	17.65	327.01	9.01	24.85	11.84	3.72	17.10	0.00	73.71	196.45	41.17
MED26	15.99	9.85	3.89	40.11	78.19	0.00	0.00	0.00	3.86	89.07	3.73	11.48	0.00	8.82	0.00	0.00	0.00	47.36	1.86	98.32	0.00	0.00	8.93	4.57
MED27	53.30	4.93	3.89	6.69	20.18	0.00	0.00	0.00	3.86	7.92	1.24	71.73	0.00	0.00	0.00	9.01	33.13	0.00	1.86	153.89	0.00	0.00	0.00	6.86
MED28	0.00	34.49	40.83	53.49	41.62	0.00	0.00	0.00	11.59	0.00	92.12	0.00	38.59	35.29	0.00	27.04	5.52	5.92	20.48	4.27	0.00	0.00	8.93	61.76
MED29	175.89	0.00	36.94	100.29	44.14	0.00	0.00	0.00	27.05	1.98	1.24	74.60	88.75	8.82	0.00	166.77	16.56	17.76	1.86	0.00	0.00	0.00	4.46	84.63
MED30	90.61	4.93	40.83	0.00	21.44	0.00	0.00	0.00	11.59	83.13	0.00	0.00	40.52	17.65	0.00	9.01	11.04	62.15	5.59	4.27	0.00	57.33	8.93	32.02
MED31	31.98	0.00	9.72	0.00	29.01	0.00	0.00	0.00	3.86	1.98	6.22	5.74	7.72	0.00	0.00	4.51	22.09	11.84	9.31	25.65	0.00	0.00	0.00	18.30
MED4	31.98	39.41	19.44	60.17	61.80	0.00	0.00	0.00	112.06	39.59	38.59	80.34	135.06	8.82	0.00	9.01	38.65	11.84	18.62	42.75	0.00	0.00	147.34	123.51
MED4-AS1	0.00	0.00	11.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MED6	10.66	4.93	7.78	6.69	36.57	44.26	0.00	0.00	3.86	1.98	33.61	11.48	71.39	0.00	0.00	0.00	60.74	62.15	76.33	8.55	0.00	0.00	13.39	6.86
MED7	0.00	14.78	97.21	66.86	354.39	0.00	0.00	0.00	11.59	3.96	3.73	14.35	9.65	0.00	0.00	171.28	63.50	20.72	13.03	25.65	0.00	163.79	22.32	6.86
MED8	5.33	73.90	5.83	26.74	26.48	1195.11	0.00	0.00	7.73	59.38	26.14	5.74	119.62	52.94	0.00	4.51	0.00	91.75	14.89	21.37	0.00	90.08	8.93	4.57
MED9	10.66	0.00	7.78	33.43	65.58	0.00	648.51	0.00	11.59	11.88	1.24	2.87	38.59	194.12	0.00	0.00	66.26	2.96	89.36	4.27	0.00	0.00	116.08	2.29
MEDAG	26.65	4.93	15.55	53.49	20.18	0.00	0.00	0.00	7.73	0.00	0.00	2.87	57.88	0.00	0.00	0.00	8.28	0.00	46.54	0.00	0.00	0.00	22.32	0.00
MEF2A	122.59	73.90	91.38	73.54	94.59	0.00	0.00	0.00	104.33	5.94	187.97	63.12	50.16	79.41	0.00	4.51	88.34	5.92	115.42	273.58	407.83	122.84	13.39	114.36
MEF2B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEF2BNB	0.00	0.00	1.94	0.00	10.09	0.00	0.00	0.00	3.86	53.44	2.49	0.00	0.00	52.94	0.00	13.52	2.76	2.96	1.86	0.00	0.00	8.19	4.46	0.00
MEF2BNB-MEF2B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEF2C	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.87	5.79	0.00	0.00	0.00	0.00	0.00	9.31	0.00	0.00	0.00	0.00	0.00
MEF2C-AS1	0.00	0.00	0.00	0.00	5.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEF2D	0.00	4.93	7.78	106.97	6.31	0.00	0.00	0.00	34.78	3.96	9.96	22.95	5.79	0.00	0.00	0.00	38.65	11.84	7.45	4.27	0.00	8.19	17.86	34.31
MEFV	5.33	0.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.29
MEG3	5.33	0.00	124.43	0.00	103.42	0.00	0.00	0.00	3.86	3.96	0.00	2.87	1.93	0.00	0.00	0.00	0.00	2.96	0.00	0.00	0.00	0.00	0.00	4.57
MEG8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEG9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEGF10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.65	0.00	0.00	0.00	0.00	4.51	5.52	0.00	0.00	0.00	0.00	0.00	0.00	2.29
MEGF11	0.00	0.00	1.94	0.00	3.78	0.00	0.00	0.00	3.86	0.00	1.24	0.00	1.93	0.00	0.00	4.51	0.00	2.96	1.86	0.00	0.00	0.00	0.00	0.00
MEGF6	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	4.51	0.00	0.00	0.00	0.00	0.00	114.65	0.00	0.00
MEGF8	10.66	4.93	7.78	46.80	7.57	0.00	0.00	0.00	15.46	21.77	6.22	5.74	3.86	8.82	0.00	4.51	2.76	14.80	3.72	21.37	0.00	73.71	22.32	18.30
MEGF9	5.33	4.93	0.00	0.00	3.78	0.00	648.51	0.00	0.00	3.96	0.00	40.17	0.00	35.29	327.01	0.00	0.00	2.96	0.00	17.10	0.00	90.08	4.46	2.29
MEI1	0.00	0.00	19.44	0.00	147.56	0.00	0.00	0.00	0.00	5.94	1.24	0.00	1.93	0.00	0.00	0.00	11.04	8.88	9.31	8.55	0.00	16.38	4.46	0.00
MEI4	10.66	0.00	7.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.87	0.00	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.00	0.00
MEIG1	0.00	4.93	5.83	0.00	3.78	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	8.82	0.00	0.00	0.00	0.00	1.86	8.55	0.00	0.00	0.00	0.00
MEIKIN	0.00	0.00	0.00	0.00	27.75	0.00	0.00	0.00	3.86	0.00	0.00	0.00	0.00	0.00	0.00	94.65	2.76	0.00	3.72	0.00	0.00	0.00	0.00	0.00
MEIOB	0.00	4.93	1.94	0.00	88.28	0.00	0.00	0.00	3.86	1.98	0.00	2.87	0.00	0.00	0.00	0.00	0.00	2.96	0.00	0.00	0.00	0.00	4.46	2.29
MEIS1	0.00	4.93	54.44	13.37	22.70	0.00	0.00	0.00	57.96	3.96	4.98	5.74	1.93	0.00	0.00	0.00	2.76	0.00	3.72	0.00	0.00	16.38	0.00	2.29
MEIS1-AS2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEIS1-AS3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEIS2	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEIS3	0.00	0.00	0.00	0.00	2.52	0.00	0.00	0.00	0.00	29.69	0.00	0.00	0.00	0.00	0.00	0.00	2.76	0.00	1.86	0.00	0.00	0.00	0.00	2.29
MEIS3P1	10.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.73	2.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	62.51	0.00
MELK	0.00	44.34	31.11	46.80	7.57	44.26	0.00	0.00	3.86	1.98	24.90	157.81	44.38	79.41	0.00	4.51	2.76	0.00	7.45	42.75	0.00	0.00	17.86	2.29
MEMO1	0.00	0.00	54.44	0.00	2.52	0.00	0.00	0.00	0.00	21.77	0.00	5.74	44.38	8.82	0.00	54.09	0.00	5.92	3.72	0.00	0.00	0.00	4.46	13.72
MEN1	10.66	14.78	29.16	13.37	6.31	0.00	0.00	0.00	3.86	15.83	2.49	2.87	61.74	52.94	0.00	4.51	77.30	0.00	7.45	4.27	0.00	0.00	0.00	2.29
MEOX1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEOX2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.92	0.00	0.00	0.00	0.00	0.00	0.00
MEOX2-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEP1A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEP1B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEPCE	10.66	14.78	44.72	13.37	46.66	0.00	0.00	0.00	139.11	49.48	28.63	2.87	88.75	44.12	0.00	4.51	82.82	14.80	76.33	21.37	0.00	139.22	49.11	77.77
MEPE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MERTK	85.28	211.84	38.88	227.32	89.54	88.53	0.00	0.00	150.70	120.74	54.77	40.17	100.33	79.41	327.01	207.33	44.17	293.01	85.64	145.34	0.00	196.55	258.95	210.42
MESDC1	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.46	0.00
MESDC2	213.20	128.09	19.44	140.40	107.20	0.00	0.00	0.00	208.67	237.52	291.29	195.11	233.45	70.59	0.00	396.64	176.69	396.60	368.61	175.26	815.66	286.63	352.71	233.30
MESP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MESP2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEST	10.66	0.00	27.22	6.69	2.52	0.00	0.00	0.00	0.00	0.00	11.20	0.00	1.93	0.00	0.00	0.00	2.76	5.92	0.00	17.10	0.00	8.19	0.00	0.00
MESTIT1	0.00	0.00	35.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.47	2.87	1.93	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.00	2.29
MET	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
METAP1	21.32	103.46	190.53	227.32	314.03	0.00	0.00	0.00	11.59	55.42	304.98	74.60	59.81	26.47	0.00	243.39	93.87	71.03	78.19	132.51	0.00	16.38	17.86	157.82
METAP1D	0.00	0.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00	17.81	0.00	0.00	0.00	0.00	0.00	0.00	52.45	41.44	0.00	0.00	0.00	0.00	0.00	0.00
METAP2	122.59	39.41	120.54	200.57	112.24	0.00	7133.59	969.93	69.56	197.94	99.59	467.69	169.78	176.47	0.00	121.70	171.17	227.90	223.40	149.61	0.00	57.33	93.76	532.92
METRN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.86	0.00	1.24	0.00	0.00	0.00	0.00	0.00	24.85	0.00	1.86	8.55	0.00	0.00	35.72	0.00
METRNL	154.57	236.48	33.05	73.54	127.38	0.00	0.00	0.00	529.40	29.69	117.01	14.35	71.39	44.12	0.00	49.58	276.08	8.88	106.12	0.00	0.00	16.38	254.49	45.74
METTL1	15.99	19.71	44.72	6.69	1.26	0.00	0.00	0.00	3.86	5.94	54.77	20.08	86.82	0.00	0.00	0.00	0.00	2.96	9.31	34.20	0.00	0.00	0.00	0.00
METTL10	138.58	24.63	3.89	80.23	37.83	0.00	0.00	0.00	3.86	3.96	52.28	2.87	0.00	0.00	0.00	9.01	33.13	0.00	9.31	8.55	0.00	8.19	4.46	22.87
METTL11B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
METTL12	42.64	9.85	21.39	6.69	12.61	0.00	0.00	0.00	23.19	3.96	3.73	2.87	9.65	0.00	327.01	31.55	16.56	20.72	13.03	47.02	0.00	49.14	8.93	16.01
METTL13	21.32	19.71	44.72	113.66	49.19	0.00	0.00	0.00	185.48	77.19	6.22	45.91	191.01	167.65	0.00	139.73	179.45	109.51	14.89	25.65	0.00	131.03	31.25	128.08
METTL14	21.32	0.00	126.37	100.29	40.36	0.00	0.00	0.00	285.95	3.96	12.45	103.29	44.38	17.65	0.00	153.25	85.58	8.88	20.48	4.27	0.00	8.19	4.46	148.67
METTL15	53.30	0.00	0.00	0.00	7.57	0.00	0.00	0.00	0.00	3.96	29.88	2.87	1.93	0.00	0.00	0.00	2.76	5.92	0.00	0.00	0.00	114.65	4.46	0.00
METTL16	0.00	14.78	48.60	20.06	18.92	0.00	0.00	0.00	96.61	35.63	2.49	17.22	21.22	52.94	0.00	76.62	0.00	2.96	152.66	0.00	0.00	0.00	40.18	89.20
METTL17	79.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.90	0.00	0.00	57.88	8.82	0.00	4.51	0.00	8.88	29.79	0.00	815.66	0.00	75.90	4.57
METTL18	0.00	0.00	3.89	0.00	2.52	0.00	0.00	0.00	0.00	63.34	1.24	0.00	1.93	0.00	0.00	0.00	0.00	0.00	1.86	25.65	0.00	8.19	0.00	0.00
METTL20	5.33	0.00	0.00	0.00	2.52	0.00	0.00	0.00	0.00	1.98	0.00	0.00	3.86	0.00	0.00	0.00	2.76	2.96	1.86	0.00	0.00	8.19	89.29	2.29
METTL21A	138.58	216.77	62.21	66.86	60.54	0.00	648.51	0.00	77.28	59.38	44.81	140.59	144.70	114.71	327.01	22.54	41.41	183.50	111.70	166.71	0.00	8.19	450.94	29.73
METTL21B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.00	1.93	0.00	0.00	0.00	5.52	0.00	68.88	34.20	0.00	0.00	0.00	0.00
METTL21C	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	94.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
METTL21EP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
METTL22	0.00	0.00	5.83	13.37	21.44	0.00	0.00	0.00	61.83	3.96	1.24	2.87	46.30	0.00	0.00	0.00	0.00	2.96	0.00	0.00	0.00	8.19	0.00	27.45
METTL23	69.29	0.00	62.21	6.69	60.54	1062.32	0.00	484.97	170.03	63.34	49.79	34.43	30.87	8.82	0.00	45.07	13.80	192.38	102.39	25.65	0.00	40.95	53.58	148.67
METTL24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
METTL25	0.00	142.87	31.11	0.00	0.00	0.00	0.00	0.00	0.00	25.73	0.00	20.08	1.93	61.77	0.00	63.10	2.76	2.96	0.00	0.00	0.00	0.00	0.00	0.00
METTL2A	0.00	4.93	0.00	6.69	5.04	0.00	0.00	0.00	0.00	0.00	0.00	17.22	3.86	0.00	0.00	0.00	2.76	2.96	3.72	4.27	0.00	0.00	0.00	4.57
METTL2B	69.29	0.00	0.00	20.06	1.26	0.00	0.00	0.00	0.00	0.00	0.00	40.17	1.93	0.00	0.00	0.00	2.76	0.00	0.00	0.00	0.00	0.00	0.00	80.05
METTL3	0.00	0.00	1.94	0.00	1.26	0.00	0.00	0.00	0.00	1.98	3.73	0.00	0.00	0.00	0.00	0.00	0.00	2.96	1.86	0.00	0.00	0.00	0.00	0.00
METTL4	63.96	4.93	7.78	40.11	1.26	0.00	0.00	0.00	3.86	83.13	0.00	0.00	27.01	8.82	0.00	9.01	52.45	2.96	16.76	4.27	0.00	8.19	66.97	2.29
METTL5	37.31	0.00	52.49	40.11	18.92	0.00	0.00	0.00	0.00	61.36	28.63	80.34	0.00	0.00	0.00	0.00	2.76	50.32	96.81	4.27	0.00	16.38	13.39	4.57
METTL6	95.94	4.93	54.44	73.54	74.41	0.00	0.00	0.00	7.73	13.86	2.49	63.12	1.93	8.82	0.00	4.51	0.00	14.80	1.86	158.16	0.00	106.46	4.46	0.00
METTL7A	0.00	54.19	11.67	40.11	20.18	0.00	0.00	0.00	3.86	33.65	2.49	5.74	94.54	79.41	0.00	265.93	132.52	130.23	13.03	8.55	0.00	32.76	8.93	61.76
METTL7B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.49	0.00	7.72	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.00	0.00
METTL8	74.62	4.93	5.83	20.06	49.19	0.00	0.00	0.00	50.23	87.09	170.54	22.95	17.36	8.82	0.00	45.07	30.37	62.15	35.37	153.89	0.00	81.89	133.94	295.05
METTL9	37.31	0.00	9.72	0.00	36.57	0.00	0.00	0.00	112.06	0.00	38.59	5.74	50.16	0.00	0.00	0.00	52.45	14.80	9.31	0.00	0.00	16.38	22.32	34.31
MEX3A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MEX3B	15.99	59.12	182.75	26.74	76.93	0.00	0.00	0.00	27.05	39.59	21.16	22.95	28.94	238.24	0.00	49.58	13.80	32.56	14.89	12.82	0.00	0.00	223.24	9.15
MEX3C	15.99	14.78	221.64	100.29	221.96	0.00	0.00	0.00	19.32	49.48	109.54	312.75	55.95	26.47	0.00	31.55	35.89	50.32	35.37	4.27	0.00	49.14	107.15	20.59
MEX3D	26.65	14.78	97.21	361.03	257.28	44.26	0.00	0.00	135.25	29.69	1.24	195.11	1.93	17.65	0.00	4.51	162.88	20.72	160.10	47.02	0.00	49.14	31.25	43.46
MFAP1	122.59	0.00	7.78	0.00	45.40	0.00	0.00	0.00	61.83	35.63	2.49	37.30	86.82	35.29	0.00	58.59	80.06	20.72	91.22	8.55	0.00	0.00	0.00	2.29
MFAP2	0.00	0.00	0.00	33.43	15.13	0.00	0.00	0.00	0.00	0.00	8.71	166.42	0.00	0.00	0.00	4.51	0.00	0.00	1.86	4.27	0.00	0.00	4.46	0.00
MFAP3	15.99	0.00	5.83	140.40	20.18	0.00	0.00	0.00	81.15	0.00	0.00	2.87	3.86	0.00	0.00	94.65	91.11	0.00	1.86	128.24	0.00	0.00	0.00	77.77
MFAP3L	15.99	9.85	169.15	140.40	158.91	0.00	0.00	484.97	289.82	1.98	149.38	57.39	5.79	8.82	327.01	63.10	8.28	20.72	85.64	17.10	0.00	16.38	26.79	11.44
MFAP4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MFAP5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MFF	394.42	187.21	507.44	334.29	413.66	1859.07	648.51	0.00	131.38	192.00	164.32	352.92	598.10	273.53	0.00	148.74	309.21	372.92	191.75	123.97	0.00	139.22	281.28	299.63
MFGE8	5.33	78.83	3.89	80.23	3.78	0.00	0.00	0.00	11.59	49.48	33.61	77.47	19.29	17.65	0.00	4.51	126.99	5.92	22.34	0.00	0.00	0.00	0.00	77.77
MFHAS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MFI2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.49	0.00	0.00	0.00	0.00	0.00	2.76	0.00	0.00	0.00	0.00	0.00	0.00	2.29
MFI2-AS1	0.00	0.00	71.94	6.69	61.80	0.00	0.00	0.00	0.00	3.96	1.24	2.87	5.79	0.00	0.00	0.00	2.76	5.92	5.59	4.27	407.83	8.19	8.93	0.00
MFN1	79.95	49.27	5.83	26.74	15.13	0.00	0.00	0.00	42.51	5.94	2.49	2.87	0.00	0.00	0.00	0.00	82.82	47.36	50.27	260.76	407.83	8.19	4.46	36.60
MFN2	15.99	59.12	1.94	0.00	32.79	0.00	648.51	0.00	108.20	0.00	104.56	97.55	54.02	17.65	0.00	36.06	57.98	106.55	29.79	85.49	0.00	8.19	17.86	4.57
MFNG	0.00	0.00	1.94	0.00	3.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.86	4.27	0.00	0.00	4.46	2.29
MFRP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MFSD1	37.31	4.93	71.94	93.60	6.31	0.00	0.00	0.00	50.23	65.32	32.37	117.64	3.86	61.77	0.00	18.03	24.85	47.36	1.86	0.00	0.00	73.71	58.04	36.60
MFSD10	127.92	14.78	21.39	66.86	21.44	0.00	0.00	0.00	7.73	146.47	48.55	109.03	59.81	0.00	0.00	81.13	5.52	5.92	65.16	123.97	0.00	147.41	0.00	41.17
MFSD11	5.33	4.93	29.16	0.00	59.27	0.00	0.00	0.00	15.46	9.90	29.88	2.87	0.00	0.00	0.00	112.68	5.52	5.92	13.03	4.27	0.00	8.19	0.00	2.29
MFSD12	0.00	0.00	1.94	80.23	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.51	0.00	0.00	0.00	0.00	0.00	0.00	4.46	0.00
MFSD2A	607.63	532.07	252.75	661.89	227.01	44.26	648.51	0.00	714.88	471.09	597.51	714.45	742.80	979.42	0.00	631.02	1018.72	926.39	688.82	521.51	815.66	1154.72	209.84	523.77
MFSD2B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MFSD3	10.66	0.00	93.32	0.00	2.52	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	52.94	0.00	0.00	11.04	5.92	128.46	8.55	0.00	16.38	107.15	2.29
MFSD4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.92	0.00	0.00	0.00	0.00	0.00	0.00
MFSD5	42.64	4.93	48.60	60.17	22.70	0.00	648.51	0.00	15.46	15.83	3.73	8.61	54.02	52.94	0.00	0.00	38.65	0.00	14.89	8.55	0.00	65.52	0.00	52.61
MFSD6	0.00	59.12	3.89	120.34	13.87	44.26	0.00	484.97	88.88	1.98	4.98	25.82	1.93	44.12	0.00	90.15	5.52	2.96	0.00	17.10	0.00	114.65	4.46	13.72
MFSD6L	0.00	0.00	33.05	80.23	0.00	0.00	0.00	0.00	3.86	3.96	0.00	2.87	0.00	0.00	0.00	0.00	2.76	2.96	0.00	0.00	0.00	0.00	0.00	0.00
MFSD7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MFSD8	47.97	128.09	3.89	93.60	21.44	0.00	0.00	0.00	46.37	69.28	53.53	2.87	106.11	273.53	0.00	22.54	118.71	5.92	96.81	76.94	407.83	40.95	0.00	38.88
MFSD9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MGA	47.97	216.77	5.83	13.37	69.36	0.00	0.00	0.00	11.59	98.97	155.60	0.00	36.66	0.00	0.00	108.17	41.41	130.23	104.25	12.82	0.00	90.08	98.22	43.46
MGAM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MGAM2	0.00	0.00	0.00	0.00	22.70	0.00	0.00	0.00	0.00	1.98	1.24	0.00	0.00	0.00	0.00	0.00	2.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00
